NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (km2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
DEF06;01053047;Gülzow;Gülzow;no;1295;17,07;3;;;;;;;;;;;;
DEF06;01053048;Güster;Güster;no;1278;7,78;3;;;;;;;;;;;;
DEF06;01053049;Hamfelde;Hamfelde;no;490;3,47;3;;;;;;;;;;;;
DEF06;01053050;Hamwarde;Hamwarde;no;863;6,67;3;;;;;;;;;;;;
DEF06;01053051;Harmsdorf;Harmsdorf;no;318;3,57;3;;;;;;;;;;;;
DEF06;01053052;Havekost;Havekost;no;178;5,91;3;;;;;;;;;;;;
DEF06;01053053;Hohenhorn;Hohenhorn;no;531;6,93;3;;;;;;;;;;;;
DEF06;01053054;Hollenbek;Hollenbek;no;417;7,21;3;;;;;;;;;;;;
DEF06;01053056;Hornbek;Hornbek;no;190;5,89;3;;;;;;;;;;;;
DEF06;01053057;Horst;Horst;no;204;12,05;3;;;;;;;;;;;;
DEF06;01053058;Juliusburg;Juliusburg;no;180;6,03;3;;;;;;;;;;;;
DEF06;01053059;Kankelau;Kankelau;no;211;4,21;3;;;;;;;;;;;;
DEF06;01053060;Kasseburg;Kasseburg;no;584;7,89;3;;;;;;;;;;;;
DEF06;01053061;Kastorf;Kastorf;no;1112;6,90;3;;;;;;;;;;;;
DEF06;01053062;Kittlitz;Kittlitz;no;256;17,73;3;;;;;;;;;;;;
DEF06;01053064;Klein Pampau;Klein Pampau;no;625;4,17;3;;;;;;;;;;;;
DEF06;01053066;Klein Zecher;Klein Zecher;no;245;9,11;3;;;;;;;;;;;;
DEF06;01053067;Klempau;Klempau;no;623;10,07;3;;;;;;;;;;;;
DEF06;01053068;Klinkrade;Klinkrade;no;608;7,40;3;;;;;;;;;;;;
DEF06;01053069;Koberg;Koberg;no;774;11,98;3;;;;;;;;;;;;
DEF06;01053070;Köthel;Köthel;no;268;1,52;3;;;;;;;;;;;;
DEF06;01053071;Kollow;Kollow;no;586;8,21;3;;;;;;;;;;;;
DEF06;01053072;Kröppelshagen-Fahrendorf;Kröppelshagen-Fahrendorf;no;1308;8,37;3;;;;;;;;;;;;
DEF06;01053073;Krüzen;Krüzen;no;383;8,24;3;;;;;;;;;;;;
DEF06;01053074;Krukow;Krukow;no;150;7,94;3;;;;;;;;;;;;
DEF06;01053075;Krummesse;Krummesse;no;1756;3,35;3;;;;;;;;;;;;
DEF06;01053076;Kuddewörde;Kuddewörde;no;1377;7,35;3;;;;;;;;;;;;
DEF06;01053077;Kühsen;Kühsen;no;372;7,28;3;;;;;;;;;;;;
DEF06;01053078;Kulpin;Kulpin;no;218;6,07;3;;;;;;;;;;;;
DEF06;01053079;Labenz;Labenz;no;840;5,75;3;;;;;;;;;;;;
DEF06;01053080;Langenlehsten;Langenlehsten;no;151;23,37;3;;;;;;;;;;;;
DEF06;01053081;Lankau;Lankau;no;466;19,12;3;;;;;;;;;;;;
DEF06;01053082;Lanze;Lanze;no;292;9,04;3;;;;;;;;;;;;
DEF06;01053083;Lauenburg/ Elbe, Stadt;Lauenburg/ Elbe, Stadt;no;11485;9,56;2;;;;;;;;;;;;
DEF06;01053084;Lehmrade;Lehmrade;no;521;11,40;3;;;;;;;;;;;;
DEF06;01053085;Linau;Linau;no;1244;9,66;3;;;;;;;;;;;;
DEF06;01053086;Lüchow;Lüchow;no;287;4,61;3;;;;;;;;;;;;
DEF06;01053087;Lütau;Lütau;no;714;11,24;3;;;;;;;;;;;;
DEF06;01053088;Mechow;Mechow;no;127;4,43;3;;;;;;;;;;;;
DEF06;01053089;Möhnsen;Möhnsen;no;561;7,47;3;;;;;;;;;;;;
DEF06;01053090;Mölln, Stadt;Mölln, Stadt;no;18928;25,05;2;;;;;;;;;;;;
DEF06;01053091;Mühlenrade;Mühlenrade;no;172;3,74;3;;;;;;;;;;;;
DEF06;01053092;Müssen;Müssen;no;1125;11,46;3;;;;;;;;;;;;
DEF06;01053093;Mustin;Mustin;no;729;11,88;3;;;;;;;;;;;;
DEF06;01053094;Niendorf bei Berkenthin;Niendorf bei Berkenthin;no;190;3,99;3;;;;;;;;;;;;
DEF06;01053095;Niendorf/ Stecknitz;Niendorf/ Stecknitz;no;661;8,41;3;;;;;;;;;;;;
DEF06;01053096;Nusse;Nusse;no;1091;6,22;3;;;;;;;;;;;;
DEF06;01053097;Panten;Panten;no;638;13,83;3;;;;;;;;;;;;
DEF06;01053098;Pogeez;Pogeez;no;479;4,51;3;;;;;;;;;;;;
