NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
UKG13;E07000219;Nuneaton and Bedworth;;No;127019;78950400;1;No;;;UK035C1;No;Nuneaton and Bedworth;;;;UK025L3;No;Coventry
UKG13;E07000222;Warwick;;No;140411;282882100;1;No;;;UK564C1;No;Warwick;;;;UK025L3;No;Coventry
UKG13;E07000220;Rugby;;No;103815;353557300;1;No;;;UK581C1;No;Rugby;;;;UK025L3;No;Coventry
UKE11;E06000010;Kingston upon Hull, City of;;No;260240;81497600;1;No;;;UK026C1;No;Kingston upon Hull, City of;;;;UK026L1;No;Kingston upon Hull
UKG23;E06000021;Stoke-on-Trent;;No;253226;93448500;1;No;;;UK027C1;No;Stoke-on-Trent;UK027K1;No;Stoke-on-Trent;UK027L1;No;Stoke-on-Trent
UKG24;E07000195;Newcastle-under-Lyme;;No;128467;210957300;1;No;;;UK565C1;No;Newcastle-under-Lyme;UK027K1;No;Stoke-on-Trent;UK027L1;No;Stoke-on-Trent
UKF14;E06000018;Nottingham;;No;325282;74613500;1;No;;;UK029C1;No;Nottingham;UK029K1;No;Greater Nottingham;UK029L1;No;Greater Nottingham
UKF16;E07000172;Broxtowe;;No;112671;80098900;1;No;;;;;;UK029K1;No;Greater Nottingham;UK029L1;No;Greater Nottingham
UKF16;E07000173;Gedling;;No;116501;119981600;1;No;;;;;;UK029K1;No;Greater Nottingham;UK029L1;No;Greater Nottingham
UKF16;E07000176;Rushcliffe;;No;115204;409231700;1;No;;;;;;UK029K1;No;Greater Nottingham;UK029L1;No;Greater Nottingham
UKJ25;E07000209;Guildford;;No;148020;270931100;1;No;;;UK033C1;No;Guildford;;;;UK033L1;No;Guildford
UKD46;E07000117;Burnley;;No;87522;110684000;1;No;;;UK050C1;No;Burnley;;;;UK050L1;No;Burnley
UKJ22;E07000062;Hastings;;No;92236;30831700;1;No;;;UK056C1;No;Hastings;;;;UK056L1;No;Hastings
UKJ21;E06000043;Brighton and Hove;;No;289229;85376700;1;No;;;UK515C1;No;Brighton and Hove;UK515K1;No;Brighton and Hove;UK515L1;No;Brighton and Hove
UKJ27;E07000223;Adur;;No;63506;43563800;1;No;;;;;;UK515K1;No;Brighton and Hove;UK515L1;No;Brighton and Hove
UKK41;E06000026;Plymouth;;No;264199;84362900;1;No;;;UK516C1;No;Plymouth;;;;UK516L1;No;Plymouth
UKL18;W06000011;Swansea;;No;244513;420897700;1;No;;;UK517C1;No;Swansea;;;;UK517L1;No;Swansea
UKF11;E06000015;Derby;;No;256233;78031100;1;No;;;UK518C1;No;Derby;;;;UK518L1;No;Derby
UKJ32;E06000045;Southampton;;No;254275;56385300;1;No;;;UK520C1;No;Southampton;UK520K1;No;Southampton;UK520L2;No;Southampton
UKJ35;E07000086;Eastleigh;;No;129635;85268000;1;No;;;UK579C1;No;Eastleigh;UK520K1;No;Southampton;UK520L2;No;Southampton
UKF24;E07000154;Northampton;;No;225474;80771800;1;No;;;UK528C1;No;Northampton;;;;UK528L1;No;Northampton
UKK21;E06000028;Bournemouth;;No;197657;47168200;1;No;;;UK539C1;No;Bournemouth;UK539K1;No;Bournemouth;UK539L1;No;Bournemouth
UKK21;E06000029;Poole;;No;151500;74716200;1;No;;;UK555C1;No;Poole;UK539K1;No;Bournemouth;UK539L1;No;Bournemouth
UKH34;E07000071;Colchester;;No;186635;346713300;1;No;;;UK546C1;No;Colchester;;;;UK546L1;No;Colchester
UKM71;S30000002;Dundee City;;No;148270;62222900;1;No;;;UK550C1;No;Dundee City;;;;UK550L1;No;Dundee
UKJ11;E06000038;Reading;;No;162666;40397900;1;No;;;UK552C1;No;Reading;UK552K1;No;Reading;UK552L0;No;Reading
UKJ11;E06000041;Wokingham;;No;161878;178965500;1;No;;;;;;UK552K1;No;Reading;UK552L0;No;Reading
UKD42;E06000009;Blackpool;;No;139195;43150800;1;No;;;UK553C1;No;Blackpool;UK553K1;No;Blackpool;UK553L1;No;Blackpool
UKD44;E07000128;Wyre;;No;110261;329030000;1;No;;;;;;UK553K1;No;Blackpool;UK553L1;No;Blackpool
UKD46;E07000120;Hyndburn;;No;80537;72997400;1;No;;;UK057C1;No;Hyndburn;;;;UK557L1;No;Blackburn with Darwen
UKD41;E06000008;Blackburn with Darwen;;No;147049;137022000;1;No;;;UK557C1;No;Blackburn with Darwen;;;;UK557L1;No;Blackburn with Darwen
UKL21;W06000022;Newport;;No;149148;217767600;1;No;;;UK558C1;No;Newport;;;;UK558L1;No;Newport
UKC11;E06000001;Hartlepool;;No;92817;98441700;1;No;;;UK053C1;No;Hartlepool;;;;UK559L2;No;Middlesbrough
UKC11;E06000004;Stockton-on-Tees;;No;195681;209731000;1;No;;;UK536C1;No;Stockton-on-Tees;;;;UK559L2;No;Middlesbrough
UKC12;E06000002;Middlesbrough;;No;140398;54553700;1;No;;;UK559C1;No;Middlesbrough;;;;UK559L2;No;Middlesbrough
UKJ14;E07000178;Oxford;;No;161291;45602800;1;No;;;UK560C1;No;Oxford;;;;UK560L1;No;Oxford
